City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,morondava,-20.2833,44.2833,26.75,70,6,3.89,MG,1725947881
299,new norfolk,-42.7826,147.0587,15.13,61,95,3.36,AU,1725947545
300,port douglas,-16.4833,145.4667,24.45,75,18,6.71,AU,1725947881
301,kailua-kona,19.6406,-155.9956,26.98,70,40,2.57,US,1725947585
302,kapa'a,22.0752,-159.319,24.18,77,0,3.6,US,1725947555
303,port moresby,-9.4431,147.1797,28.68,65,40,5.14,PG,1725947881
304,mosjoen,65.836,13.1908,12.29,94,75,0.0,NO,1725947882
305,mariental,-24.6333,17.9667,13.85,21,1,1.87,NA,1725947586
306,saint-francois,46.4154,3.9054,12.04,95,0,2.06,FR,1725947882
307,hard bargain,26.3167,-77.5667,29.27,75,90,3.49,BS,1725947883
308,fort bragg,35.139,-79.006,14.95,93,0,0.0,US,1725947527
309,nguigmi,14.2495,13.1092,28.54,62,30,3.01,NE,1725947540
310,yesan,36.6776,126.8427,30.88,68,25,3.72,KR,1725947883
311,baise city,23.8997,106.6133,28.52,99,99,1.74,CN,1725947883
312,siroki brijeg,43.3833,17.5928,19.51,88,100,3.78,BA,1725947883
313,la carlota,10.4233,122.9208,29.49,74,54,5.31,PH,1725947883
314,brezina,33.0989,1.2608,22.25,52,18,1.61,DZ,1725947884
315,talladega,33.4359,-86.1058,18.87,96,75,1.03,US,1725947884
316,tari,-11.1105,14.3559,18.78,71,64,0.8,AO,1725947884
317,saint-philippe,-21.3585,55.7679,23.19,72,28,4.81,RE,1725947560
318,ta`u,-14.2336,-169.5144,26.53,82,15,10.3,AS,1725947548
319,aktau,43.65,51.2,23.32,41,84,9.81,KZ,1725947552
320,ilhabela,-23.7781,-45.3581,20.88,78,32,1.78,BR,1725947844
321,mhlume,-26.0333,31.85,14.56,76,100,2.81,SZ,1725947884
322,koryazhma,61.3143,47.1691,19.01,58,34,1.66,RU,1725947885
323,severo-yeniseyskiy,60.3725,93.0408,1.35,79,100,5.56,RU,1725947583
324,mora,11.0461,14.1401,24.94,83,96,1.95,CM,1725947885
325,masvingo,-20.0637,30.8277,15.82,83,100,4.33,ZW,1725947885
326,chhala,23.3,72.7667,28.78,66,61,5.13,IN,1725947885
327,tommot,58.9564,126.2925,6.74,95,100,3.63,RU,1725947885
328,east london,-33.0153,27.9116,11.52,66,20,3.09,ZA,1725947432
329,port elizabeth,-33.918,25.5701,11.29,77,0,2.57,ZA,1725947255
330,xinyuan,37.3,99.0,9.52,83,100,2.06,CN,1725947886
331,jesus maria,-30.9815,-64.0942,17.04,57,67,2.31,AR,1725947886
332,holualoa,19.6228,-155.9522,24.91,74,40,2.57,US,1725947564
333,kamina,-8.7386,24.9906,25.98,32,53,1.66,CD,1725947886
334,jingdezhen,29.2947,117.2079,35.98,43,100,3.93,CN,1725947886
335,sur,22.5667,59.5289,35.19,40,16,0.76,OM,1725947886
336,klyuchi,52.2667,79.1667,18.85,64,43,1.37,RU,1725947538
337,sandnessjoen,66.0217,12.6316,13.06,94,75,4.12,NO,1725947560
338,ad dawadimi,24.5077,44.3924,30.64,13,7,3.69,SA,1725947887
339,tara,56.8944,74.371,14.03,61,73,2.27,RU,1725947887
340,borba,-4.3878,-59.5939,27.52,43,82,0.19,BR,1725947887
341,namibe,-15.1961,12.1522,17.89,73,0,0.69,AO,1725947551
342,segezha,63.7415,34.3222,15.69,73,2,4.49,RU,1725947887
343,sao joao da barra,-21.6403,-41.0511,22.38,79,0,9.6,BR,1725947548
344,cole harbour,44.6724,-63.4751,12.62,91,28,1.34,CA,1725947888
345,harstad,68.799,16.5293,17.01,59,100,7.6,NO,1725947888
346,ust'-ilimsk,58.0006,102.6619,4.66,60,98,6.13,RU,1725947561
347,birnin kudu,11.4459,9.4984,24.99,74,90,2.15,NG,1725947888
348,santana,-0.0583,-51.1817,28.1,83,40,2.57,BR,1725947888
349,taulaga,-11.0553,-171.0883,27.64,84,21,10.3,AS,1725947602
350,sidi khaled,34.387,4.9879,24.24,54,0,6.79,DZ,1725947888
351,tralee,52.2704,-9.7026,13.81,92,100,7.02,IE,1725947586
352,riohacha,11.5444,-72.9072,26.95,86,100,2.76,CO,1725947889
353,laguna,38.421,-121.4238,22.08,64,0,3.09,US,1725947536
354,kouroussa,10.65,-9.8833,21.35,98,100,1.61,GN,1725947889
355,la'ie,21.6477,-157.9253,25.66,77,51,0.45,US,1725947540
356,lockwood,45.8191,-108.4149,22.94,28,0,5.14,US,1725947889
357,rajula,21.05,71.4333,30.31,68,45,3.16,IN,1725947889
358,kerikeri,-35.2268,173.9474,16.62,74,100,2.24,NZ,1725947545
359,naama,33.2667,-0.3167,18.82,60,27,2.46,DZ,1725947889
360,vikhorevka,56.1201,101.1636,6.48,48,87,5.73,RU,1725947890
361,kaa-khem,51.6833,94.7333,18.02,38,55,3.34,RU,1725947890
362,nikolayevsk-on-amure,53.1406,140.73,19.64,69,91,7.14,RU,1725947890
363,mpika,-11.8343,31.4529,22.64,41,42,5.68,ZM,1725947890
364,kilju,40.9642,129.3278,28.92,66,75,2.71,KP,1725947890
